sku,motivo
"ADITC03ECO/180","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITC03ECO/190","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITC03ECO/200","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITHK01/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITKP01/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITKP01/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITKP01/XXS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITP300/12OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITP300/14OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITP300/16OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIWAKOEB01/RED/BLU-L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIWAKOEB01/RED/BLU-M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIWAKOEB01/RED/BLU-S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIWAKOEB01/RED/BLU-XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"BOXINGSHORT/GO/YE(M)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"BOXINGSHORT/GO/YE(S)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"BOXINGSHORT/RED(L)","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"BP-01","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"EU-VENUM-0003/L","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0003/M","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0003/S","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0003/XL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0003/XXL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0004/XL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0173/BLU","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0181","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0429/BLK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0429/BLUE","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0429/RED","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0430/BLUE","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0430/RED","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0430/WHT","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0620","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0773/L","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0773/M","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-0773/XL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1062/L","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1062/M","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1062/XL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1110-8oz","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1120","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1238/XL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1324/L","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1324/XXL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392-10oz/PNK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392-12oz/PNK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392-14oz/PNK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392-16oz/PNK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392/12OZ-BLK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392/14OZ-BLK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-1392/16OZ-BLK","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-2015/L","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-2015/M","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-2015/S","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-2015/XL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"EU-VENUM-2015/XXL","EU-VENUM invalido (esperado: EU-VENUM-<3|4 digitos>-<3 digitos>[-/TALLA])"
"FWB-001","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/42","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/42.7","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/43.3","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/44","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/44.7","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/45.3","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/46","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"FX0561/46.7","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"GZ6116/42","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"GZ6116/44.7","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"GZ6116/45.3","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"GZ6116/46","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"HG-12PA2","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"IH2732/40.7","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"IH2732/41.3","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"IH2732/42","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"IH2732/42.7","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"IH2732/43.3","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"IR97748","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BP/120","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BP/130","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BP/180","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BP/190","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/120","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/130","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/140","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/150","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/160","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/180","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/190","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350BR/200","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350P/120","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350P/130","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350P/140","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350P/150","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350P/180","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350P/190","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/120","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/130","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/140","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/150","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/160","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/190","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"J350R/200","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR-01A","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR-10A","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR32/BLUE","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR32/GRN","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR32/PNK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR32/YEL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR46-ORG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR46-RED","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JR46-YELL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JS-306","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JS-316","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JS-319","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JS-608","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"JS-609","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/120","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/130","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/140","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/150","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/160","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/170","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/180","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/190","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220C/200","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220DNAKIT/140","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220DNAKIT/150","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220DNAKIT/160","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220DNAKIT/165","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"K220DNAKIT/170","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
